Crayfish worm survey,,,,,,,,,,
worm counts for each crayish,,,,,,,,,,
crayfishID,C_philadelphica,C_ingens,C_fallax,P_alcicornis,C_heterognatha,B_illuminatus,X_instabilius,A_koronaeus,C_branchiophila,Xironodrilus
MAGN_1_2A,0,2,101,81,0,0,0,10,0,0
MAGN_1_2B,0,10,73,113,0,0,0,7,0,0
MAGN_1_2C,0,3,38,72,0,0,0,12,0,0
MAGN_1_3A,0,4,84,85,0,0,0,9,0,0
MAGxN_1_3B,0,4,106,69,0,0,0,7,0,0
MAGN_1_3C,0,2,57,33,0,0,0,3,0,0
MAGN_1_4A,0,12,93,111,0,0,0,20,0,0
MAGN_1_4B,0,8,130,115,0,0,0,32,2,0
MAGN_1_4C,0,1,29,12,0,0,0,2,0,0
MAGN_2_1,0,9,82,97,0,0,0,18,1,0
MAGN_1_1A,0,5,27,69,0,0,0,4,3,0
MAGN_1_1B,0,5,93,104,0,0,0,11,0,0
MAGN_1_1C,0,6,110,87,0,0,0,4,1,0
