"STREAM","SPEC","SEX","LENGTH","MASS","C_philadelphicus","C_ingens","C_fallax","P_alcicornis","C_heterognatha","B_illuminatus","X_instabilius","A_koronaeus","C_branchiophila","Xironodrilus"
"stoney","cris","M1",31.5,9.22,0,5,27,69,0,0,0,4,3,0
"stoney","scio","F",33,10.92,0,5,93,104,0,0,0,11,0,0
"stoney","cris","M2",34.5,15.65,0,6,110,87,0,0,0,4,1,0
"stoney","scio","M2",NA,10.69,0,2,101,81,0,0,0,10,0,0
"stoney","scio","F",36,17.04,0,10,73,113,0,0,0,7,0,0
"stoney","cris","F",34,13.69,0,3,38,72,0,0,0,12,0,0
"stoney","scio","F",34.5,11.78,0,4,84,85,0,0,0,9,0,0
"sink","scio","F",NA,10.05,0,4,106,69,0,0,0,7,0,0
"sink","scio","M2",26,6.48,0,2,57,33,0,0,0,3,0,0
"sink","cris","M2",36.5,15.49,0,12,93,111,0,0,0,20,0,0
"sink","cris","M2",36.5,16.78,0,8,130,115,0,0,0,32,2,0
"sink","scio","M2",25,5.32,0,1,29,12,0,0,0,2,0,0
"sink","scio","F",33.19,13.21,0,9,82,97,0,0,0,18,1,0
